chr1	start1	end1	chr2	start2	end2	distance
chr21	28000000	28030000	chr21	28000000	28030000	0.0
chr21	28000000	28030000	chr21	28030000	28060000	338.10353443878694
chr21	28000000	28030000	chr21	28060000	28090000	676.6690476148588
chr21	28000000	28030000	chr21	28090000	28120000	356.7478100843788
chr21	28000000	28030000	chr21	28120000	28150000	568.3959887261697
chr21	28000000	28030000	chr21	28150000	28180000	801.0998689302103
chr21	28000000	28030000	chr21	28180000	28210000	743.0874780266453
chr21	28000000	28030000	chr21	28210000	28240000	1134.8559379938936
chr21	28000000	28030000	chr21	28240000	28270000	533.4594642519711
chr21	28000000	28030000	chr21	28270000	28300000	604.1150552667928
chr21	28000000	28030000	chr21	28300000	28330000	581.4834477437857
chr21	28000000	28030000	chr21	28330000	28360000	519.8971052044818
chr21	28000000	28030000	chr21	28360000	28390000	298.21804103709087
chr21	28000000	28030000	chr21	28390000	28420000	195.63486396856774
chr21	28000000	28030000	chr21	28420000	28450000	780.0602540829778
chr21	28000000	28030000	chr21	28450000	28480000	821.2253040426848
chr21	28000000	28030000	chr21	28480000	28510000	485.6634637277134
chr21	28000000	28030000	chr21	28510000	28540000	194.3527720409462
chr21	28000000	28030000	chr21	28540000	28570000	241.5553766737557
chr21	28000000	28030000	chr21	28570000	28600000	394.24865250245307
chr21	28000000	28030000	chr21	28600000	28630000	356.40005611671836
chr21	28000000	28030000	chr21	28630000	28660000	165.37230723431296
chr21	28000000	28030000	chr21	28660000	28690000	407.4125673073917
chr21	28000000	28030000	chr21	28690000	28720000	880.338571232682
chr21	28000000	28030000	chr21	28720000	28750000	644.984495937693
chr21	28000000	28030000	chr21	28750000	28780000	643.9052725362636
chr21	28000000	28030000	chr21	28780000	28810000	710.3196463564836
chr21	28000000	28030000	chr21	28810000	28840000	641.2433235519883
chr21	28000000	28030000	chr21	28840000	28870000	652.7664207049869
chr21	28000000	28030000	chr21	28870000	28900000	1035.2477964236389
chr21	28000000	28030000	chr21	28900000	28930000	918.8155418798705
chr21	28000000	28030000	chr21	28930000	28960000	
chr21	28000000	28030000	chr21	28960000	28990000	1029.0772565750349
chr21	28000000	28030000	chr21	28990000	29020000	945.5284236869878
chr21	28000000	28030000	chr21	29020000	29050000	968.8121592961145
chr21	28000000	28030000	chr21	29050000	29080000	
chr21	28000000	28030000	chr21	29080000	29110000	803.2060756742319
chr21	28000000	28030000	chr21	29110000	29140000	833.7565591945889
chr21	28000000	28030000	chr21	29140000	29170000	
chr21	28000000	28030000	chr21	29170000	29200000	572.2770308163696
chr21	28000000	28030000	chr21	29200000	29230000	523.3536089490547
chr21	28000000	28030000	chr21	29230000	29260000	489.4496909795735
chr21	28000000	28030000	chr21	29260000	29290000	430.07092438340914
chr21	28000000	28030000	chr21	29290000	29320000	619.3948659780771
chr21	28000000	28030000	chr21	29320000	29350000	682.3444877772517
chr21	28000000	28030000	chr21	29350000	29380000	863.5583361881235
chr21	28000000	28030000	chr21	29380000	29410000	999.2727355432049
chr21	28000000	28030000	chr21	29410000	29440000	946.6630868476916
chr21	28000000	28030000	chr21	29440000	29470000	881.9399072499215
