chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14150000,14200000,14200000,14250000,1
chr21,chr21,14150000,14200000,14300000,14350000,1
chr21,chr21,14200000,14250000,14150000,14200000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14200000,14250000,14300000,14350000,1
chr21,chr21,14200000,14250000,14350000,14400000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14250000,14300000,14400000,14450000,1
chr21,chr21,14250000,14300000,15200000,15250000,1
chr21,chr21,14250000,14300000,15350000,15400000,1
chr21,chr21,14300000,14350000,14150000,14200000,1
chr21,chr21,14300000,14350000,14200000,14250000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
chr21,chr21,14300000,14350000,14350000,14400000,1
chr21,chr21,14350000,14400000,14200000,14250000,1
chr21,chr21,14350000,14400000,14300000,14350000,1
chr21,chr21,14350000,14400000,14350000,14400000,1
chr21,chr21,14350000,14400000,14450000,14500000,1
chr21,chr21,14400000,14450000,14250000,14300000,1
chr21,chr21,14400000,14450000,14400000,14450000,1
chr21,chr21,14450000,14500000,14350000,14400000,1
chr21,chr21,14450000,14500000,14450000,14500000,1
chr21,chr21,14450000,14500000,15350000,15400000,1
chr21,chr21,14500000,14550000,14500000,14550000,1
chr21,chr21,14550000,14600000,14550000,14600000,1
chr21,chr21,14600000,14650000,14600000,14650000,1
chr21,chr21,14600000,14650000,14650000,14700000,1
chr21,chr21,14650000,14700000,14600000,14650000,1
chr21,chr21,14650000,14700000,14650000,14700000,1
chr21,chr21,14700000,14750000,14700000,14750000,1
chr21,chr21,14700000,14750000,15050000,15100000,1
chr21,chr21,14700000,14750000,15400000,15450000,1
chr21,chr21,14750000,14800000,14750000,14800000,1
chr21,chr21,14750000,14800000,15250000,15300000,1
chr21,chr21,14750000,14800000,15400000,15450000,1
chr21,chr21,14800000,14850000,14800000,14850000,1
chr21,chr21,14800000,14850000,14850000,14900000,1
chr21,chr21,14850000,14900000,14800000,14850000,1
chr21,chr21,14850000,14900000,14850000,14900000,1
