chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,28000000,28030000,28000000,28030000,1
chr21,chr21,28030000,28060000,28030000,28060000,1
chr21,chr21,28030000,28060000,28090000,28120000,1
chr21,chr21,28030000,28060000,28660000,28690000,1
chr21,chr21,28030000,28060000,29830000,29860000,1
chr21,chr21,28060000,28090000,28060000,28090000,1
chr21,chr21,28060000,28090000,28120000,28150000,1
chr21,chr21,28060000,28090000,28270000,28300000,1
chr21,chr21,28060000,28090000,28300000,28330000,1
chr21,chr21,28090000,28120000,28030000,28060000,1
chr21,chr21,28090000,28120000,28090000,28120000,1
chr21,chr21,28090000,28120000,28600000,28630000,1
chr21,chr21,28120000,28150000,28060000,28090000,1
chr21,chr21,28120000,28150000,28120000,28150000,1
chr21,chr21,28120000,28150000,28240000,28270000,1
chr21,chr21,28120000,28150000,28270000,28300000,1
chr21,chr21,28120000,28150000,28300000,28330000,1
chr21,chr21,28120000,28150000,28330000,28360000,1
chr21,chr21,28150000,28180000,28150000,28180000,1
chr21,chr21,28150000,28180000,28180000,28210000,1
chr21,chr21,28150000,28180000,29110000,29140000,1
chr21,chr21,28180000,28210000,28150000,28180000,1
chr21,chr21,28180000,28210000,28180000,28210000,1
chr21,chr21,28180000,28210000,29110000,29140000,1
chr21,chr21,28210000,28240000,28210000,28240000,1
chr21,chr21,28240000,28270000,28120000,28150000,1
chr21,chr21,28240000,28270000,28240000,28270000,1
chr21,chr21,28240000,28270000,28270000,28300000,1
chr21,chr21,28240000,28270000,28300000,28330000,1
chr21,chr21,28240000,28270000,29170000,29200000,1
chr21,chr21,28240000,28270000,29200000,29230000,1
chr21,chr21,28240000,28270000,29800000,29830000,1
chr21,chr21,28240000,28270000,29860000,29890000,1
chr21,chr21,28270000,28300000,28060000,28090000,1
chr21,chr21,28270000,28300000,28120000,28150000,1
chr21,chr21,28270000,28300000,28240000,28270000,1
chr21,chr21,28270000,28300000,28270000,28300000,1
chr21,chr21,28270000,28300000,28300000,28330000,1
chr21,chr21,28300000,28330000,28060000,28090000,1
chr21,chr21,28300000,28330000,28120000,28150000,1
chr21,chr21,28300000,28330000,28240000,28270000,1
chr21,chr21,28300000,28330000,28270000,28300000,1
chr21,chr21,28300000,28330000,28300000,28330000,1
chr21,chr21,28300000,28330000,28330000,28360000,1
chr21,chr21,28300000,28330000,29800000,29830000,1
chr21,chr21,28300000,28330000,29860000,29890000,1
chr21,chr21,28330000,28360000,28120000,28150000,1
chr21,chr21,28330000,28360000,28300000,28330000,1
chr21,chr21,28330000,28360000,28330000,28360000,1
chr21,chr21,28330000,28360000,28660000,28690000,1
chr21,chr21,28330000,28360000,29230000,29260000,1
chr21,chr21,28330000,28360000,29830000,29860000,1
chr21,chr21,28330000,28360000,29860000,29890000,1
chr21,chr21,28330000,28360000,29890000,29920000,1
chr21,chr21,28360000,28390000,28360000,28390000,1
chr21,chr21,28390000,28420000,28390000,28420000,1
chr21,chr21,28390000,28420000,28510000,28540000,1
chr21,chr21,28390000,28420000,28540000,28570000,1
chr21,chr21,28390000,28420000,28630000,28660000,1
chr21,chr21,28420000,28450000,28420000,28450000,1
chr21,chr21,28450000,28480000,28450000,28480000,1
chr21,chr21,28480000,28510000,28480000,28510000,1
chr21,chr21,28480000,28510000,28570000,28600000,1
chr21,chr21,28510000,28540000,28390000,28420000,1
